account_id,holder_name,account_no,ifsc,phone,email,ip
ACC00061,Vivaan Krishnamurthy,692221969379,DALA0237474,5305152204,zachariahdhanush@gmail.com,121.50.55.87
ACC00062,Faiyaz Soni,074821759464,DANI0743671,0369711798,riaankala@rana.com,139.252.243.121
ACC00063,Eshani Gole,369594406409,LALL0097439,6706540515,azadgoda@hotmail.com,43.52.169.1
ACC00064,Rasha Khatri,533942104709,CHAN0521456,7043030548,shettyneelofar@gmail.com,35.15.56.161
ACC00065,Purab Bhatia,232858842474,KAMD0517123,7652775841,samarth11@sahota-divan.com,29.162.190.45
ACC00066,Prisha Kapadia,685160481754,KAPO0965137,9640165820,darshitdalal@goswami.org,73.209.238.79
ACC00067,Tushar Grewal,098593174612,SING0004711,8565431027,urvi47@ramesh.info,102.138.252.99
ACC00068,Alisha Chadha,382675869261,KAPA0796405,5188442258,vritikakoshy@gole.org,40.78.43.248
ACC00069,Chirag Dubey,377351585064,SEKH0317139,8669125177,adahkrishnamurthy@thakur.net,106.162.111.119
ACC00070,Samarth Savant,005329318393,GHOS0352904,1438424981,nirviratta@yohannan.org,65.208.223.14
ACC00071,Azad Rege,228421020539,"DEO,0502402",9078447364,ejohal@chaudry-garde.org,84.111.174.3
ACC00072,Yakshit Bhattacharyya,681177589178,KURI0390847,5371473210,indraniltalwar@yahoo.com,206.128.112.174
ACC00073,Tarini Buch,007661771159,KURI0212499,4701687339,praju@hotmail.com,16.66.253.65
ACC00074,Adah Bhavsar,856984789611,SETH0836736,5060983584,misha91@gmail.com,193.201.173.191
ACC00075,Yashvi Gara,576615654527,GOSW0111161,9868000257,manjari52@randhawa-shankar.com,159.89.165.199
ACC00076,Anika Tandon,528098851656,GOUR0049451,6940974993,rborah@babu.com,99.135.63.58
ACC00077,Aaina Borra,983273158514,SANT0936899,8970283857,vlata@goel.com,140.78.14.93
ACC00078,Ranbir Mallick,809402445502,CHOW0296120,3757584419,riaanbail@yahoo.com,202.40.118.139
ACC00079,Ahana  Sagar,183667525459,SHEN0910229,3848421993,baijubedi@gandhi-sekhon.info,72.204.66.138
ACC00080,Ira Brar,014767976438,SACH0156149,7345401938,toorvivaan@chander-shere.com,208.75.234.168
ACC00081,Jiya Ramachandran,784036900343,GANE0244510,8872874315,shanshayak@mander-sandal.com,110.124.227.120
ACC00082,Drishya Gade,762268388516,IYER0060715,2275304637,neysa53@sama.info,57.242.88.129
ACC00083,Prisha Bhargava,969664160529,DIVA0751613,3272795687,tlalla@barad-manda.com,76.240.34.252
ACC00084,Ivan Gade,696816453521,KANT0818835,9718707286,samaira06@yahoo.com,163.124.134.21
ACC00085,Azad Kakar,523124329212,SARM0779979,1704622656,neysavasa@bhargava-chakraborty.net,40.38.116.96
ACC00086,Aarav Shukla,955271774490,DIXI0581477,8633752431,laganbandi@rajan.info,131.29.131.74
ACC00087,Seher Bains,005411998679,KAND0807935,0284395995,rdoctor@mallick.com,155.87.65.29
ACC00088,Badal Gera,978207151820,SAMP0377889,6624628733,jjoshi@bhavsar.com,102.80.247.214
ACC00089,Tushar Batra,255466590515,SENG0186449,4699013983,cheriankanav@hotmail.com,94.166.163.189
ACC00090,Rasha Ramakrishnan,251925462914,CHAU0865281,4678544587,tushardugar@yahoo.com,78.41.90.210
ACC00091,Advik De,685054235733,MAST0221418,4235369378,uchad@yahoo.com,111.208.36.198
ACC00092,Hrishita Rege,880592962229,LALA0270653,0062312038,aanand@hotmail.com,4.24.69.82
ACC00093,Eva Sen,794738347359,LOYA0774688,8621182339,xbaral@yahoo.com,23.200.91.235
ACC00094,Rohan Sani,623924075818,SACH0141247,1666870021,contractorlakshit@wali.com,68.194.30.93
ACC00095,Inaaya  Manda,826137506068,BABU0536153,0392614293,vshroff@gmail.com,161.65.61.100
ACC00096,Baiju Bawa,051522047277,D’AL0901043,5999650477,rchander@hotmail.com,133.124.3.45
ACC00097,Yasmin Dasgupta,289861434103,BANS0697117,6265511047,chanderadah@mallick-mall.net,33.174.70.106
ACC00098,Sumer Malhotra,980893246095,RAJU0396218,6046618398,romil47@balay.biz,125.50.242.65
ACC00099,Vardaniya Barad,518888806706,DASS0540515,9937124065,adah92@yahoo.com,44.218.192.50
ACC00100,Saksham Chakrabarti,319520585277,DUTT0221704,9356465193,nsathe@sur-dhingra.com,166.139.216.13
ACC00101,Hiran Ravel,303054868740,DARA0345054,6617979688,bhagattiya@gmail.com,150.184.118.235
ACC00102,Neelofar Ramesh,156676527758,MAND0416169,5610143888,vihaan79@hotmail.com,13.132.252.133
ACC00103,Anya Ben,284511544796,JOHA0275705,2545738757,doctorazad@hotmail.com,85.244.253.55
ACC00104,Parinaaz Sura,964016582029,SHAN0702135,8258673622,brajagopalan@agate-sarraf.com,102.64.16.182
ACC00105,Yasmin Viswanathan,569092755719,CHAN0285654,7147859696,lranganathan@hotmail.com,147.9.86.8
ACC00106,Pari Bhavsar,310278681447,BHAR0394731,1252866929,ivanachacko@yahoo.com,43.249.108.80
ACC00107,Alisha Rao,217271551884,VERM0422583,7236887676,sundertara@dhingra.com,116.158.100.194
ACC00108,Vanya Karnik,132370589578,SHAR0291146,8819148580,shahneysa@gmail.com,34.16.16.22
ACC00109,Prerak Ghosh,786691251778,KAND0528922,3959629233,samarthsarraf@yahoo.com,49.28.38.18
ACC00110,Himmat Sheth,680182422535,BALA0841438,2325367294,jaggidrishya@dewan.com,31.158.15.118
ACC00111,Kavya Agarwal,424981829922,BATR0995900,1863637454,vsubramaniam@singh.com,157.105.201.161
ACC00112,Gatik Varughese,109439690784,KANN0473647,6324241541,samaira36@hotmail.com,70.23.125.74
ACC00113,Lakshit Khare,102767735925,BHAT0556258,8700516271,dugartushar@biswas-halder.com,137.36.129.49
ACC00114,Eva Manda,815371473210,RAMA0469632,7532697311,aaryahi52@gmail.com,124.86.69.75
ACC00115,Ishita Rama,595327877470,"SEN,0168733",4389836403,mray@lalla.com,205.14.77.10
ACC00116,Jiya Kade,950047974801,MAHA0624565,7109104300,zsarna@gmail.com,137.197.132.48
ACC00117,Dharmajan Dubey,060983584168,KUME0784991,8569146303,dubeynitya@hotmail.com,139.61.200.80
ACC00118,Abram Sathe,216558523986,SARN0800025,7588425241,deepriya@hotmail.com,159.192.225.190
ACC00119,Diya Gole,787298259526,KRIS0949588,5241913800,veer22@gmail.com,7.90.222.75
ACC00120,Samarth Dash,879470551694,SEM-0097499,1951802380,shaan18@yahoo.com,76.215.203.214
